price,area,bathroom,bhk,balconies
0.03420074349442379,0.019466666666666667,0.3333333333333333,0.375,0.0
0.024650185873605946,0.02376666666666667,0.3333333333333333,0.375,0.0
0.01849628252788104,0.0155,0.2222222222222222,0.25,0.0
0.02301096654275093,0.019283333333333333,0.3333333333333333,0.375,0.0
0.03578066914498141,0.025666666666666667,0.3333333333333333,0.375,0.0
0.02019981412639405,0.01575,0.2222222222222222,0.25,0.125
0.032022304832713754,0.024333333333333335,0.3333333333333333,0.375,0.0
0.03531598513011152,0.025833333333333333,0.3333333333333333,0.375,0.0
0.08643122676579926,0.5166666666666667,0.0,0.0,0.0
0.01933085501858736,0.018333333333333333,0.2222222222222222,0.25,0.25
0.011152416356877323,0.011250000000000001,0.2222222222222222,0.125,0.0
0.030669144981412638,0.18333333333333335,0.0,0.0,0.0
0.02973977695167286,0.015516666666666668,0.2222222222222222,0.25,0.0
0.01788104089219331,0.021666666666666667,0.2222222222222222,0.375,0.0
0.04944237918215613,0.02981666666666667,0.3333333333333333,0.375,0.25
0.03345724907063197,0.021133333333333334,0.2222222222222222,0.25,0.25
0.20446096654275092,0.05733333333333333,0.4444444444444444,0.5,0.25
0.07769516728624536,0.04,0.4444444444444444,0.5,0.25
0.03295910780669145,0.020633333333333333,0.2222222222222222,0.25,0.25
0.03717472118959108,0.029316666666666668,0.0,0.25,0.0
0.016356877323420074,0.0175,0.2222222222222222,0.25,0.25
0.017100371747211896,0.0145,0.2222222222222222,0.25,0.25
0.019572490706319702,0.01625,0.2222222222222222,0.25,0.0
0.022578438661710037,0.02266666666666667,0.2222222222222222,0.25,0.0
0.013234200743494424,0.0167,0.2222222222222222,0.25,0.0
0.03717472118959108,0.028333333333333335,0.3333333333333333,0.375,0.0
0.019092936802973977,0.015333333333333334,0.2222222222222222,0.25,0.0
0.017174721189591076,0.018333333333333333,0.2222222222222222,0.25,0.0
0.017338289962825278,0.017666666666666667,0.2222222222222222,0.25,0.0
0.03531598513011152,0.03278333333333334,0.3333333333333333,0.375,0.125
0.016356877323420074,0.017,0.2222222222222222,0.25,0.25
0.040892193308550186,0.02475,0.3333333333333333,0.375,0.25
0.013382899628252787,0.01,0.1111111111111111,0.125,0.0
0.025278810408921933,0.015416666666666667,0.2222222222222222,0.25,0.125
0.016728624535315983,0.01,0.1111111111111111,0.125,0.125
0.02973977695167286,0.018833333333333334,0.2222222222222222,0.25,0.0
0.05390334572490706,0.029583333333333336,0.3333333333333333,0.375,0.0
0.02973977695167286,0.02,0.2222222222222222,0.25,0.0
0.02973977695167286,0.020833333333333336,0.2222222222222222,0.25,0.0
0.04460966542750929,0.025833333333333333,0.3333333333333333,0.375,0.0
0.0379182156133829,0.01916666666666667,0.2222222222222222,0.25,0.0
0.05390334572490706,0.029583333333333336,0.3333333333333333,0.375,0.0
0.009851301115241635,0.01,0.1111111111111111,0.125,0.125
0.008802973977695167,0.012333333333333333,0.1111111111111111,0.125,0.0
0.018736059479553903,0.02,0.2222222222222222,0.25,0.0
0.019809479553903345,0.020416666666666666,0.2222222222222222,0.25,0.0
0.02778810408921933,0.027083333333333334,0.3333333333333333,0.375,0.0
0.022684014869888476,0.018833333333333334,0.2222222222222222,0.25,0.0
0.0337360594795539,0.0275,0.3333333333333333,0.375,0.0
0.015156133828996282,0.0151,0.2222222222222222,0.25,0.0
0.03312267657992565,0.0275,0.3333333333333333,0.375,0.0
0.019907063197026023,0.018016666666666667,0.2222222222222222,0.25,0.0
0.015156133828996282,0.0151,0.2222222222222222,0.25,0.0
0.014126394052044609,0.016666666666666666,0.2222222222222222,0.25,0.0
